name,area,climb_info,region,description,number_of_votes,grade,protection,url,areaurl,average_rating,location,grade_num,toprope,sport,trad,alpine,ice,aid,pitches,length,yes,no,anchor,arete,awkward,block,bolt,boulder,bulge,broken,canyon,buttress,chains,chimney,classic,clean,corner,crack,crimps,crux,difficult,dihedral,exposure,face,finger,flake,gully,hand,jug,ledge,lip,jam,ledge.1,notch,moderate,ridge,vertical,horizontal,mantle,offwidth,overhang,pillar,pocket,protect,ramp,rappel,roof,scramble,seam,slab,sloper,solid,stance,steep,stemming,sustained,technical,tower,traverse,undercling
Arachnid Traction,The Creature Wall,"Trad, 1 pitch, 80'",New York,"Of all the routes on the Creature Wall, this one sees the most traffic. ,On the left side of the cliff are two parallel cracks that diagonally split the upper portion of the cliff. Arachnid Traction starts on the face below the cracks in front of a large, nice birch tree and finishes in the right hand crack to the summit. ,Begin by climbing up the face using the obvious crack system until the first opportunity to step right arises. ,Step right on some balancy terrain, and jam the right of the two classic handcracks. This crack is about 20 feet long and is rather sustained. It also presents very little in the way of rests for the climber, so rest up before beginning this final, cruxy section. ,Surmount the crack and climb up over a final, small bulge to the trees where a tree anchor can be built. (Presently, there exists some old webbing and a rap ring.) ,The left side of the cliff. Arachnid Traction climbs the right-hand crack.,",38,5.8+,"A standard rack to a #3 Camalot. Include a couple extra yellow, red, and green Camalots for the crux.",http://www.mountainproject.com/v/arachnid-traction/106066640,mountainproject.com/v/the-creature-wall/106058795,3.0,"The left side of the cliff. Arachnid Traction climbs the right-hand crack.,",8.0,0,0,1,0,0,0,1.0,80.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Directississima,i. High E,"Trad, 1 pitch, 200'",New York,"Directississima (AKA Doubleissima), is a fantastic crack climb on the right side of the High E buttress. It's well protected, very sustained, and long. ,Starting at a crack system well right of the arete, climb up to the , ledge and belay (5.8+, some tricky gear); or continue onwards, heading straight up off the middle of the ledge into the meat of the climbing. The crux comes in pulling through a small roof/notch. ,Belay at the top of the High E buttress and rap just right of the climb.,Standard",107,5.10a/b,Standard Rack.,http://www.mountainproject.com/v/directississima/105799077,mountainproject.com/v/i-high-e/107059022,3.8,,10.0,0,0,1,0,0,0,1.0,200.0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
The Fastest Gun,Poke-O-Moonshine Main Face,"Trad, 4 pitches, 500',  Grade III",New York,"As stated by Don Mellor in his comprehensive guidebook to the adirondacks: ""Taken separately, each pitch of this route would be considered among Poke-O's best. Linked together they create an experience that seems to good to be in the East."" ,The Fastest Gun epitomizes all that climbing at Poke-O is about: In-your-face climbing from top to bottom with dizzying exposure, airy belay stances, and a short, but mandatory runout above small gear. This route is not only a classic Adirondack climb, but a route worthy of coast to coast notoriety. ,Pitch 1: ,Begin this route at a big right-facing flake with an off-width starting at about 15' off the ground. grunt your way up the layback flake, slam a #4 Camalot in the off-width and figure out how to get yourself to the top of the off-width below the first roof. ,place a Camalot under the roof, undercling and jam your way around this strenuous section until some feet can be had off to your right. Take a quick rest, then finish up the jamming/layback section to the slung blocks. Step left and continue over to the left below the double crack system running vertically above you. (100') ,Pitch 2: ,Follow the seemingly endless twin cracks above you to a small roof. Pull this, then continue above the broken dike, climbing slightly to the left to a ledge. (140') ,Pitch 3: ,A bolt marks the third pitch. Climb off the ledge to a thin crack on your right. Pass the 1/4 inch bolt at a hard move, then place some small gear, and run it out (5.6ish, but heady) to the large left-facing corner capped by a roof. (160') ,Pitch 4: ,The roof move. A series of hard moves gets you to the base of the corner. Crank your way up and left over the roof past some loose flakes, and then climb up to the top of the cliff and anchor. (150') ,Well done! ,About 70 feet to the right of the Bloody Mary corner is a major right-facing flake/crack behind a tree. This is the first pitch.,A full rack with doubles in the mid-size range (green through yellow Camalots), plus a wealth of nuts including a good selection of RPs or brass nuts.,",49,5.10c,"A full rack with doubles in the mid-size range (green through yellow Camalots), plus a wealth of nuts including a good selection of RPs or brass nuts.",http://www.mountainproject.com/v/the-fastest-gun/106059289,mountainproject.com/v/poke-o-moonshine-main-face/105857670,3.9,"About 70 feet to the right of the Bloody Mary corner is a major right-facing flake/crack behind a tree. This is the first pitch.,A full rack with doubles in the mid-size range (green through yellow Camalots), plus a wealth of nuts including a good selection of RPs or brass nuts.,",10.0,0,0,1,0,0,0,4.0,500.0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
MF,e. The Mac Wall (Something Interesting),"Trad, 2 pitches, 180'",New York,"This is THE standard for 5.9 routes at the Gunks. It is a must do for a visiting climber. The route is located to the right of , on the right side of the Mac Wall. ,The MF access trail is about a 6-min. walk from the Uberfall, or a 2-min. walk from where the East Trapps Connector Trail meets the carriage road. The trail leads to the base of the climb at a 20'-high thin crack. This is about 80' right of ,. ,P1: Climb the crack and face below the overhang, making a slight jog to the left. Place gear in the horizontal to the right (or clip the piton) and pull right through the overhang onto the small ledge. You'll need to make a few moves before you get your next gear. The final moves up and left through the headwall will test your endurance. A stimulating lead; 5.9, 80'. ,Variation: Instead of moving right after clipping the piton, head straight up the overhang and climb the crack above to the anchor. 5.10a, R. ,P2: Traverse right though a left-facing corner and through the notch in the roof. Continue upwards to a horizontal traverse to the left. Follow the right-facing dihedral to the GT Ledge. 5.9, 80'. ,There is a bolted anchor atop P1; from P2, either climb easier rock to the cliff top, then rappel the bolted line 50' to climber's left, or descend with two ropes to the ground.,Gear to",178,5.9,"Gear to 3"".",http://www.mountainproject.com/v/mf/105799143,mountainproject.com/v/e-the-mac-wall-something-interesting/107039700,3.6,,9.0,0,0,1,0,0,0,2.0,180.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Directissima,i. High E,"Trad, 2 pitches, 120'",New York,"Directissima is most commonly (if not always) done as a more difficult start to ,. It kicks up the difficulty a few grades, but it delivers a first pitch that is almost as classic as High E's final pitch. ,1. Begin a little ways right of the original start of High Exposure, near the nose of the buttress. Make a bouldery move up to a ramp and a leaning crack to a low roof, undercling around this roof and around the corner to the right (slick holds, some tricky gear). Continue up the face to the obvious belay ledge on the right side of the High Exposure buttress. A short pitch: 5.9, 60'. ,2. From the left end of the ledge, traverse up and left, almost to the arete. From here you have to perform a difficult long reach to a good hold (5.9+), which is well protected with fixed pins. Belay at a perch just after the crux. ,3. Easier climbing leads directly up the very exposed arete to the spacious area on the GT ledge. ,It is possible to vary or combine the climbing to the GT in several ways, including: a) climbing straight up just after turning the major arete on P1 (a nudge harder and a bit more runout), b) belaying only at the perch past the P2 crux, or c) linking the entire pitch to the GT. ,Finally: Continue up ,'s last pitch - how else would you finish a classic route? ,Descend by the bolted rappel route right of the buttress (one rope will do).,,",216,5.9+,"Standard Rack, many fixed pins on the climb.",http://www.mountainproject.com/v/directissima/105799563,mountainproject.com/v/i-high-e/107059022,3.6,,9.0,0,0,1,0,0,0,2.0,120.0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1
Modern Times,h. The Arrow Wall - CCK,"Trad, 2 pitches, 250'",New York,"Modern Times pulls a pretty wild roof on the second pitch -- hard to believe it's only 5.8+. ,Use the , access trail to reach Modern Times. This is about a 17-min. walk from the Uberfall, and a 13-min. walk from where the East Trapps Connector Trail meets the carriage road. ,Start 30' left of , below a slabby left-facing corner. ,P1: Climb the corner and angle right to a dirt ledge. Climb up and a bit left and pass an overhang (crux) to the GT ledge. 5.7, 150'. ,P2: Go 20' left and climb to the top of a huge flake. Traverse right to a notch in the roof at the top of the wall (there's a small tree growing horizontally out of the roof). Pull the roof (crux), continue up right past more overhangs, and traverse right to a belay on a small ledge. 5.8+, 100'. ,Bring up your partner, then scramble to the",184,5.9+,Standard Rack.,http://www.mountainproject.com/v/modern-times/105799085,mountainproject.com/v/h-the-arrow-wall---cck/107058090,3.6,,9.0,0,0,1,0,0,0,2.0,250.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0
Bonnie's Roof,i. High E,"Trad, 2 pitches, 250'",New York,"In 1937 Bonnie Prudden shattered her pelvis in a skiing accident. A doctor told her, ""You will always limp; no more skiing, climbing, dancing. And no children."" Nothing like a promise like that to stir a climber to great things: fifteen years later she made the historic first ascent of Bonnie's Roof, after the legendary Hans Kraus backed down and handed her the sharp end. ,Bonnie's Roof is a really enjoyable climb that launches up the most obvious right-facing dihedral in the Trapps. The Bonnie's Roof access trail is the next one after the , access trail, about a 17-min. walk from the Uberfall, and a 13-min. walk from where the East Trapps Connector Trail meets the carriage road. ,P1: Begin by jamming and stemming through several bulges to a high belay below the roof. One of the early bulges checks in at 5.9 and is the crux. This long pitch can be broken into two if necessary. 5.9, 130'. ,P2: Traverse left across the steep face to the arete, following obvious chalked holds and gear placements, then head up to the top. 5.7, 50'. ,P2 (Direct): Bonnie's Roof Direct is a highly recommended variation that continues up into the roof, slightly right, and then pulls through the roof at a steep thin hands crack (5.9++) -- wildly exposed! ,From the top, rappel with two ropes. With one rope, you can walk back to the , rap line, or head right to rappel over",262,5.9+,Standard Rack,http://www.mountainproject.com/v/bonnies-roof/105801433,mountainproject.com/v/i-high-e/107059022,3.8,,9.0,0,0,1,0,0,0,2.0,250.0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
Ants' Line,i. High E,"Trad, 1 pitch, 80'",New York,"A great line with good protection within safe distance, all the way. ,This climb is the major corner 25' left of the classic climb ,, and just right of the , arete. A large tree grows near the base. ,While there were lines on Bonnie's Roof on a crowded weekend when I was there, nobody was cued up for this climb. ,P1: Stem and jam up the corner and finish up and left under the roof (crux) to reach a bolted belay station on the arete. 5.9, 80'. ,Rap down or join Sleepwalk to reach the top of the cliff. Or you can continue up the fault straight above the route -- , (5.8). ,From the anchor, one can TR ,, on the steep wall left of Ants' Line, which I believe to be a play on names and words related to the large tree growing near the wall.,A standard light rack of nuts and cams",281,5.9,"A standard light rack of nuts and cams to 3"".",http://www.mountainproject.com/v/ants-line/105803260,mountainproject.com/v/i-high-e/107059022,3.6,,9.0,0,0,1,0,0,0,1.0,80.0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
The Diagonal,Wallface,"Trad, 7 pitches, 860'",New York,"P1 5.5 G - Climb the left facing corner (right side) of depression for 60 feet, then move across face to left leaning small ledge system (crux). Follow this up for a few moves, then traverse right across slabby terrain up to the fixed anchors, or instead of traversing right continue up the left leaning ledge and traverse above this area to a belay to the right of a roof on a slab (below some trees). 180 feet ,P2 5.5 G (with variants up to 5.8 near top of pitch) - Continue up and right for 50 feet, then go straight up into a groove at the steeper section of rock. [to the left on the steeper section there are harder variations, including the left most corner/quasi-chimney that goes about 5.8] Climb this to the base of the ramp (crux). 180 feet ,P3 5.3 G (PG runout?) - Climb ramp, following path of least resistance to a belay above a large block (fixed gear slung around large flake/boulder 50 feet above a tree in the corner). 150 feet ,P4 5.5 G - Climb below the right facing/leaning corner above the belay for 25 feet (traversing up and right), then regain main corner and follow this to a short wall, climb this to the top anchors (crux) at the left end of a large ledge. 150 feet ,P5 4th Class - Traverse right along large ledge 60 feet to some trees below a large right facing corner with a slanting roof about 15 feet up. ,P6 5.8 G - Climb corner, then traverse under ceiling into a flared chimney (crux) and right facing corner. At top of corner at grassy ledge step left to the base of another right facing corner. [can sling large block leaning against wall] 70 feet ,P7 5.8 G - Climb steep right facing corner to top fixed anchors. 80 feet,Approach via climber's path as described on the main Wallface page (follow cairns). Start at the top of the path near some birch trees, a flat rock, and where two corners form a shallow depression. ,Descend using (2) 60m ropes. 4 Raps ,Generally Wallface is most accessible sometime May thru early October. Black Flies particularly bad June into July. Exact start/end of climbing season and bugs varies year to year. The approach has many spots that get wet after a good rain or during Spring runoff. This will slow you down significantly. Many choose to camp overnight to split up the trip., ,Mostly G, Pitch 3 has some runout but because it's 5 grades easier than the hardest pitch it's considered 'safe' by ADK rock climbing standards.,",36,5.7,"Some gear anchors, some fixed anchors.",http://www.mountainproject.com/v/the-diagonal/107201641,mountainproject.com/v/wallface/106444637,3.5,"Approach via climber's path as described on the main Wallface page (follow cairns). Start at the top of the path near some birch trees, a flat rock, and where two corners form a shallow depression. , ,Descend using (2) 60m ropes. 4 Raps , ,Generally Wallface is most accessible sometime May thru early October. Black Flies particularly bad June into July. Exact start/end of climbing season and bugs varies year to year. The approach has many spots that get wet after a good rain or during Spring runoff. This will slow you down significantly. Many choose to camp overnight to split up the trip., , ,Mostly G, Pitch 3 has some runout but because it's 5 grades easier than the hardest pitch it's considered 'safe' by ADK",7.0,0,0,1,0,0,0,7.0,860.0,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
Arrow,h. The Arrow Wall - CCK,"Trad, 2 pitches, 200'",New York,"This is one of those destination climbs at the Gunks. There are also other classic moderates in the same area (,, ,, and ,). ,The Arrow access trail is just past some white rocks on the left side of the carriage road, at an open area with a good view of the valley. This is about a 13-min. walk from the Uberfall, and a 9-min. walk from where the East Trapps Connector Trail meets the carriage road. ,At the cliff, spot the huge left-facing corner of , on the right; scramble up on ledges about 20' left of Easy V to start. ,P1: Follow face and crack systems up and slightly left to a ledge system under a roof. You will notice a set of rap anchors to your right. A bit runout towards the top. 5.6, 100'. ,P2: Angle right through the notch in the roof. After a few hard tugs, you will be below a beautiful white slab. Follow this slab, passing 2 bolts on the way to a final headwall. The crux reach is protected by a final bolt. 5.8, 100'. ,Rap twice with a single 60M rope from bolt anchors. ,70M rope beta: You can combine both pitches for a great 215' lead. ,Standard",285,5.8,Standard Rack.,http://www.mountainproject.com/v/arrow/105799105,mountainproject.com/v/h-the-arrow-wall---cck/107058090,3.5,,8.0,0,0,1,0,0,0,2.0,200.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
